time_s,phase_rad,phase_deg,crossing_count,any_crossing,core_crossing_count,any_core_crossing,minimum_estimated_clearance_m,foot_endpoint_distance_m,front_thigh__rear_thigh_crossing,front_thigh__rear_thigh_core_crossing,front_thigh__rear_thigh_centerline_distance_m,front_thigh__rear_thigh_estimated_clearance_m,front_thigh__rear_shank_crossing,front_thigh__rear_shank_core_crossing,front_thigh__rear_shank_centerline_distance_m,front_thigh__rear_shank_estimated_clearance_m,front_shank__rear_thigh_crossing,front_shank__rear_thigh_core_crossing,front_shank__rear_thigh_centerline_distance_m,front_shank__rear_thigh_estimated_clearance_m,front_shank__rear_shank_crossing,front_shank__rear_shank_core_crossing,front_shank__rear_shank_centerline_distance_m,front_shank__rear_shank_estimated_clearance_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012279778160179987,9.580503057549095e-11,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.1500000000775079,0.1280000000775079,0.0,0.0,0.1500000000775079,0.1280000000775079,0.0,0.0,0.03227977816017999,0.012279778160179987
0.002,1.0906271254243514e-05,0.0006248833130930041,0.0,0.0,0.0,0.0,0.012279778160179987,9.580503057549095e-11,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.1500000000775079,0.1280000000775079,0.0,0.0,0.1500000000775079,0.1280000000775079,0.0,0.0,0.03227977816017999,0.012279778160179987
0.004,3.3353082910084374e-05,0.0019109908844977485,0.0,0.0,0.0,0.0,0.012290237320790718,6.8655841375182685e-06,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.1500054437004621,0.12800544370046207,0.0,0.0,0.15000566231582177,0.12800566231582175,0.0,0.0,0.03229023732079072,0.012290237320790718
0.006,6.771805620332601e-05,0.003879958817280284,0.0,0.0,0.0,0.0,0.012310987557848404,2.0330768094360556e-05,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.1500161532650416,0.1280161532650416,0.0,0.0,0.1500167445651303,0.1280167445651303,0.0,0.0,0.032310987557848406,0.012310987557848404
0.008,0.00011417134064604416,0.00654153596036876,0.0,0.0,0.0,0.0,0.012341769867383149,4.0128639189756055e-05,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.15003194884087298,0.12803194884087296,0.0,0.0,0.150033011812611,0.12803301181261098,0.0,0.0,0.03234176986738315,0.012341769867383149
0.01,0.00017271354020542505,0.009895756918533912,0.0,0.0,0.0,0.0,0.012382248424613261,6.598094388005566e-05,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.1500526400545493,0.12805264005454928,0.0,0.0,0.15005422756734804,0.12805422756734802,0.0,0.0,0.032382248424613264,0.012382248424613261
0.012,0.00024320531592126853,0.013934638157434532,0.0,0.0,0.0,0.0,0.01243202458918827,9.759469141885675e-05,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.150078023220153,0.128078023220153,0.0,0.0,0.15008015014895704,0.12808015014895702,0.0,0.0,0.03243202458918827,0.01243202458918827
0.014,0.00032539085806362796,0.018643522859186294,0.0,0.0,0.0,0.0,0.012490649461335221,0.000134661927110265,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.15010788107775538,0.12810788107775536,0.0,0.0,0.15011053147714898,0.12811053147714896,0.0,0.0,0.03249064946133522,0.012490649461335221
0.016,0.0004189168492790624,0.0240021674306083,0.0,0.0,0.0,0.0,0.012557634611645727,0.00017686103993248419,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.1501419837201777,0.12814198372017768,0.0,0.0,0.15014511706221711,0.1281451170622171,0.0,0.0,0.03255763461164573,0.012557634611645727
0.018000000000000002,0.0005233481060372471,0.02998563769209934,0.0,0.0,0.0,0.0,0.012632461043576989,0.00022385870604189808,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.15018008998605753,0.1281800899860575,0.0,0.0,0.15018364652835262,0.1281836465283526,0.0,0.0,0.03263246104357699,0.012632461043576989
0.020000000000000004,0.000638180761711685,0.03656506421252363,0.0,0.0,0.0,0.0,0.012714586612936106,0.00027531201468263927,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.15022194896714275,0.12822194896714273,0.0,0.0,0.15022585433647614,0.12822585433647612,0.0,0.0,0.03271458661293611,0.012714586612936106
0.022000000000000006,0.000762853615717908,0.043708292566930894,0.0,0.0,0.0,0.0,0.012803452165910134,0.0003308705582951132,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.1502673014704368,0.12826730147043677,0.0,0.0,0.15027147054868126,0.12827147054868124,0.0,0.0,0.03280345216591014,0.012803452165910134
0.024000000000000007,0.0008967580983723544,0.05138045428091341,0.0,0.0,0.0,0.0,0.012898486639501385,0.0003901783910457076,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.15031588137365437,0.12831588137365435,0.0,0.0,0.15032022156675537,0.12832022156675535,0.0,0.0,0.03289848663950139,0.012898486639501385
0.02600000000000001,0.0010392471739923124,0.05954447694065743,0.0,0.0,0.0,0.0,0.012999111331098026,0.0004528758220155735,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.15036741685996488,0.12836741685996486,0.0,0.0,0.1503718308224089,0.12837183082240888,0.0,0.0,0.03299911133109803,0.012999111331098026
0.02800000000000001,0.0011896434125886087,0.06816154666686774,0.0,0.0,0.0,0.0,0.01310474350381348,0.0005186010392716805,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.15042163153924504,0.12842163153924502,0.0,0.0,0.15042601941815323,0.1284260194181532,0.0,0.0,0.03310474350381348,0.01310474350381348
0.030000000000000013,0.0013472463938451575,0.07719153233154741,0.0,0.0,0.0,0.0,0.013214799458001207,0.0005869915742849723,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.15047824547091782,0.1284782454709178,0.0,0.0,0.15048250672665983,0.1284825067266598,0.0,0.0,0.03321479945800121,0.013214799458001207
0.032000000000000015,0.0015113395589535898,0.08659337813920397,0.0,0.0,0.0,0.0,0.013328697169246973,0.0006576856209154721,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.15053697610480707,0.12853697610480705,0.0,0.0,0.15054101095903324,0.12854101095903323,0.0,0.0,0.033328697169246975,0.013328697169246973
0.034000000000000016,0.0016811965911801732,0.0963254692064048,0.0,0.0,0.0,0.0,0.013445858569294188,0.0007303232238545915,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.15059753915490584,0.12859753915490582,0.0,0.0,0.15060124971203145,0.12860124971203143,0.0,0.0,0.03344585856929419,0.013445858569294188
0.03600000000000002,0.001856087381089293,0.10634597334390652,0.0,0.0,0.0,0.0,0.013565711528041419,0.0008045473503011968,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.15065964941838492,0.1286596494183849,0.0,0.0,0.15066294050257514,0.12866294050257512,0.0,0.0,0.03356571152804142,0.013565711528041419
0.03800000000000002,0.0020352836144625778,0.1166131612208371,0.0,0.0,0.0,0.0,0.013687691581001077,0.0008800048569402473,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.15072302154947387,0.12872302154947385,0.0,0.0,0.1507258012958151,0.12872580129581507,0.0,0.0,0.03368769158100108,0.013687691581001077
