time_s,phase_rad,phase_deg,pitch_rate_rad_s,root_x_m,root_z_m,circle_center_x_m,circle_center_z_m,com_x_m,com_z_m,potential_energy_J,kinetic_energy_J,total_energy_J,energy_change_J,ground_contact_count,normal_force_sum_N,normal_force_max_N,tangential_force_sum_N,contact_slip_weighted_m_s,contact_slip_max_m_s,nominal_circle_slip_m_s,joint_error_max_rad,front_hip_error_rad,front_knee_error_rad,rear_hip_error_rad,rear_knee_error_rad,front_hip_torque_Nm,front_knee_torque_Nm,rear_hip_torque_Nm,rear_knee_torque_Nm,actuator_power_W,saturated_actuator_count,joint_damping_power_W,foot_gap_m,roundness_rms_m,roundness_peak_to_peak_m,airborne
0.020000000000000004,0.0004257786342143163,0.024395318747324795,0.03906056855063891,0.00010137972691771024,0.2506814343541998,4.655050758112958e-05,0.1474607296573276,0.011948858893952353,0.22031061287018291,6.851153345853088,0.00016818131014909347,6.851321527163238,-0.0026618891788787735,4.0,31.68176387355829,8.034185956054152,1.3835992140497186,0.0003224783542065966,0.0003395345090803278,-0.00032495911375752477,7.4629648685320404e-06,-1.8419324809837434e-06,7.103183936152391e-06,-2.316156912096634e-06,7.4629648685320404e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.1859204705418415e-06,1.218975571716581e-07,4.852572627056517e-07,0.0
0.022000000000000006,0.0005118420153000273,0.029326387254162072,0.04303169054285548,0.00012230988492045166,0.2506743122667774,5.742717717655579e-05,0.14745279967589026,0.01196542688338103,0.22030175332369034,6.850877834334127,0.00019355925542304775,6.8510713935895495,-0.0029120227525671893,4.0,31.66580155412335,8.030156059070329,1.3850786948147227,0.00032361617464759347,0.00033643385057156795,-0.00032624706012565965,7.606091203093968e-06,-1.8810419789017097e-06,7.239202774789177e-06,-2.3641749202774065e-06,7.606091203093968e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.2454490761945167e-06,1.2500474878591845e-07,4.976234503073496e-07,0.0
0.024000000000000007,0.0006058474130216324,0.03471249979505877,0.04700269886080253,0.00014523023981692672,0.2506679597579909,6.947313002776383e-05,0.14744568175347522,0.01198374259843723,0.22029361064439568,6.8506246157362245,0.00022261076816317327,6.850847226504388,-0.0031361898377291197,4.0,31.633037530098207,8.021884562746498,1.385906118571587,0.0003241457484225227,0.00033366556420917615,-0.0003269829400673477,7.711869620008471e-06,-1.91034126900691e-06,7.33975424549449e-06,-2.400012410253005e-06,7.711869620008471e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.2901977545878657e-06,1.2732015154991914e-07,5.068352224024686e-07,0.0
0.02600000000000001,0.0007077948648287109,0.040553658515717725,0.05097372590353927,0.00017014145763678183,0.2506623231400869,8.268943670433136e-05,0.14743933466774534,0.012003807082443411,0.2202861434915981,6.850392404458672,0.0002553336082478618,6.85064773806692,-0.003335678275196763,4.0,31.590559772455638,8.011168223556002,1.3864212881643103,0.000324303423587663,0.00033127563924329335,-0.00032739038193501085,7.788891501991912e-06,-1.932016897965294e-06,7.41300164186498e-06,-2.4264025688669477e-06,7.788891501991912e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.323443369124887e-06,1.2902339867692318e-07,5.136082064371994e-07,0.0
0.02800000000000001,0.0008176853623570603,0.04684992023268495,0.05494524876417472,0.00019704413969173442,0.2506573426432408,9.707675958591945e-05,0.14743370496215902,0.01202562098471078,0.22027929826752052,6.850179533733875,0.00029168069322358753,6.850471214427098,-0.0035122019150186645,4.0,31.543253754422786,7.999245899753014,1.3868585924093466,0.0003242515842938362,0.00032927039347416086,-0.00032762135678100594,7.843939487939267e-06,-1.9478110133142046e-06,7.465388431437958e-06,-2.4455186486416203e-06,7.843939487939267e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.3478003780747965e-06,1.3025684618920995e-07,5.185095507675985e-07,0.0
0.030000000000000013,0.000935521313959242,0.05360142293439779,0.058917975801090844,0.00022593903726275566,0.2506529565949568,0.00011263559789412853,0.14742873311771923,0.012049184856297086,0.22027301528194684,6.8499841473334,0.000331587147322055,6.850315734480722,-0.003667681861394989,4.0,31.494428070577854,7.986957068633902,1.3873773806262188,0.000324101243878919,0.00032763415926399174,-0.000327778482730837,7.882333400210939e-06,-1.9591024312259897e-06,7.501967729028891e-06,-2.4590771355303964e-06,7.882333400210939e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.3653399619848613e-06,1.3113253032128966e-07,5.219856080984631e-07,0.0
0.032000000000000015,0.0010613068403560778,0.060808402720767894,0.06289276319841794,0.00025682719401417587,0.2506491041782399,0.0001293664546433096,0.14742435773247675,0.012074499351077319,0.22026723292710798,6.849804329397327,0.00037498642775296776,6.85017931582508,-0.0038041005170370568,4.0,31.446266441164063,7.974856348224869,1.3880836839291102,0.0003239275520168933,0.0003263401164761217,-0.0003279302364484465,7.908219630481383e-06,-1.9669755426665603e-06,7.52667767245363e-06,-2.468425181367806e-06,7.908219630481383e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.377692163360138e-06,1.3173805527048298e-07,5.243853800629417e-07,0.0
0.034000000000000016,0.0011950479496270472,0.06847120382939241,0.06687055463548473,0.00028971003719138413,0.25064572718155825,0.00014726994854583113,0.14742051827983432,0.012101565359535923,0.22026189043316677,6.849638190123492,0.0004218191529721002,6.850060009276464,-0.00392340706565264,4.0,31.400154609550775,7.963296317610324,1.3890457956790319,0.00032378055226908443,0.0003253568229622218,-0.00032812143143720607,7.924809937165378e-06,-1.9722779614483876e-06,7.542568514429249e-06,-2.4746135523501245e-06,7.924809937165378e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.386131823420587e-06,1.321414927559738e-07,5.259800343604404e-07,0.0
0.03600000000000002,0.0013367526265724745,0.07659028375563016,0.07085233847271372,0.00032458943278757945,0.25064277103936683,0.000166346887157478,0.14741715685866877,0.01213038409494049,0.22025692961679272,6.849483920144136,0.0004720372925628298,6.849955957436699,-0.004027458905417447,4.0,31.356916803928975,7.952487422487993,1.3903054693629142,0.00032369271172270333,0.00032465204843049695,-0.00032838049630909763,7.934576361945389e-06,-1.9756681595706205e-06,7.551987900811241e-06,-2.4784567542734948e-06,7.934576361945389e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.391649848895624e-06,1.3239540692161929e-07,5.26978943260481e-07,0.0
0.03800000000000002,0.0014864308626459822,0.08516621496760494,0.07483911803675378,0.0003614677156297121,0.2506401853791296,0.0001865983128320647,0.14741421923403858,0.012160957146026843,0.2202522959211998,6.849339822868696,0.000525605560721212,6.849865428429418,-0.004117987912699128,4.0,31.316986636796265,7.942541269361221,1.3918859727489608,0.0003236842283559075,0.0003241949259683424,-0.0003287245629498368,7.93940891430367e-06,-1.977654436657872e-06,7.556730706514969e-06,-2.480582100949924e-06,7.93940891430367e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.3950116448966465e-06,1.3254012645507248e-07,5.275427228390583e-07,0.0
