time_s,phase_rad,phase_deg,pitch_rate_rad_s,root_x_m,front_hip_target_rad,front_knee_target_rad,rear_hip_target_rad,rear_knee_target_rad,front_hip_position_rad,front_knee_position_rad,rear_hip_position_rad,rear_knee_position_rad,front_hip_torque_Nm,front_knee_torque_Nm,rear_hip_torque_Nm,rear_knee_torque_Nm,actuator_power_W,actuator_net_work_J,foot_gap_m,roundness_peak_to_peak_m,ground_contact_count,airborne,self_contact_pair_count,forbidden_contact_pair_count,allowed_foot_penetration_m,forbidden_penetration_m,leg_crossing
0.0,0.0,0.0,0.0,0.0,0.3141592653589793,1.056503219777376,0.3141592653589793,1.056503219777376,0.3141592654,1.05650322,0.3141592654,1.05650322,0.0,0.0,0.0,0.0,0.0,0.0,0.03989999997155766,0.014431494500149106,0.0,1.0,1.0,0.0,2.8442338761980324e-11,-0.0,0.0
0.001,-3.75523008244727e-14,-2.1515883482479272e-12,-3.7552300824472693e-11,-2.2519208021837863e-17,0.3141592653589793,1.056503219777376,0.3141592653589793,1.056503219777376,0.31415926540878825,1.0565032199896556,0.3141592654088486,1.0565032199896591,-4.1020697949534224e-10,-2.2262387489035973e-09,-4.1020697949534224e-10,-2.2262387489035973e-09,3.881534835243577e-17,3.881534835243577e-20,0.03989999997155766,0.014431494500149106,0.0,1.0,1.0,0.0,2.8442338761980324e-11,-0.0,0.0
0.002,4.311956034448935e-06,0.000247056882219891,0.004311956072001236,2.8081276985340746e-08,0.31417225309796604,1.0564969176003904,0.3141711132637901,1.0564992582699717,0.31420976273464113,1.0566015398089508,0.31419806237989106,1.0565943563764193,0.00012987513413165175,-6.302182377382337e-05,0.0001184767796957864,-3.9615128724079796e-05,1.3482131414506823e-06,1.3482131414894977e-09,0.039899999978309536,0.014431494500178749,2.0,0.0,1.0,0.0,2.1690461926571203e-11,-0.0,0.0
0.003,1.2764798289843417e-05,0.0007313690683438388,0.008452842255394482,9.095400780241033e-08,0.3142108244087723,1.056477356667971,0.3142061883613173,1.0564868514803558,0.31430844403680885,1.0567933911636391,0.3142737029389247,1.056771865182928,-0.010088848429266939,-0.02090579526885783,-0.007678134394238256,-0.019302326312647722,-0.00901349712805826,-9.01214891491677e-06,0.03990166754093978,0.014421781177129223,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.004,2.5221610296347727e-05,0.0014450918225044262,0.01245681200650431,1.9538704694425505e-07,0.31427439489396264,1.056443571050081,0.3142637931668779,1.0564652281376212,0.3144532269206325,1.057074515157105,0.3143844220194914,1.0570315343663403,-0.020076751862010855,-0.04186847207324185,-0.015227209527197694,-0.03856813175484319,-0.026377900018903246,-3.539004893382002e-05,0.039904979116666024,0.014402831228581381,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.005,4.157193106073148e-05,0.0023818961959887297,0.01635032076438376,3.4823000654575424e-07,0.3143623847969961,1.0563946155856485,0.314343237457847,1.0564336330493656,0.3146422165114461,1.0574410717487144,0.3145286081355012,1.0573695884437693,-0.029864998001093657,-0.0630237944077372,-0.0225556617297884,-0.05791284985220457,-0.05157584930718135,-8.696589824100137e-05,0.03990989856206946,0.01437507005514213,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.006,6.172572223163552e-05,0.0035366233712695525,0.02015379117090405,5.564292701704739e-07,0.31447421903235345,1.0563295657232812,0.31444383828211037,1.0563913269825667,0.31487366930462024,1.0578895519053912,0.3147047745440992,1.0577825969815067,-0.039477892953642346,-0.08442637857621449,-0.029684921735868564,-0.07739343009780342,-0.08419445753117549,-0.00017116035577217686,0.039916382192261124,0.014338882075456166,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.007,8.560863526217272e-05,0.004905013490397333,0.023882913030537196,8.27039101643847e-07,0.3146093272140592,1.0562475173616317,0.3145649199649031,1.056337586544091,0.31514596329935396,1.0584167077921205,0.3149115354649589,1.0582674020125535,-0.048933979540446426,-0.10611637677298624,-0.03663182751155247,-0.09705181192163614,-0.12388953854243669,-0.00029504989431461355,0.039924382053555446,0.014294619022927335,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.008,0.00011315829632532787,0.006483492796332019,0.027549661063155144,1.1672288092987926e-06,0.3147671436825995,1.056147586689367,0.31470581411403137,1.0562717040607978,0.31545757349379994,1.0590194973312523,0.3151475865941974,1.058821060496064,-0.05824699511429143,-0.12812238837340217,-0.043409397681230644,-0.1169179857269178,-0.17036066492840166,-0.0004654105592430152,0.039933847998567515,0.014242606610665898,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.009000000000000001,0.0001443213898814252,0.008269006533667729,0.031163093556097317,1.5842867555886144e-06,0.3149471075302507,1.0560289100247364,0.31486585962348956,1.0561929874592384,0.31580705190964053,1.059695040225882,0.31541168923367796,1.0594407987477692,-0.06742669852468408,-0.15046378089152412,-0.050027495554775925,-0.13701242707033856,-0.22333314950323563,-0.0006887437087462508,0.039944728966895014,0.01418314987698685,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.010000000000000002,0.00017905137012005548,0.010258887823913996,0.034729980238630276,2.0856218583401907e-06,0.3151486626248419,1.0558906436547524,0.3150444026754981,1.05610076014496,0.316193011412345,1.0604405831414012,0.31570265744134207,1.0601239764080461,-0.07647957601610811,-0.1731525446372384,-0.05649339347791704,-0.15734803636912886,-0.28254511686560585,-0.0009712888256118567,0.03995697374560797,0.014116537464209072,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.011000000000000003,0.0002173066667417528,0.012450754864358328,0.03825529662169731,2.67876310976673e-06,0.3153712576319792,1.0557319636740188,0.3152407967409932,1.055994360881444,0.3166141126906754,1.0612534722100802,0.3160193476900387,1.0608680580151397,-0.08540943834454895,-0.1961947777776647,-0.06281224853630674,-0.17793168732141318,-0.3477383363208961,-0.0013190271619327528,0.03997053139472794,0.014043045035393331,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.012000000000000004,0.0002590492803963683,0.014842430452612958,0.0417426136546155,3.3713575396597555e-06,0.31561434603576455,1.055552065823251,0.3154544025786072,1.0558731436687154,0.3170690538505846,1.0621311313951025,0.3163606505979855,1.061670590645919,-0.09421792221518643,-0.21959187760409904,-0.06898750085364114,-0.1987654648829622,-0.41865184524624977,-0.0017376790071790024,0.03998535146169082,0.013962937994750929,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.013000000000000005,0.00030424368553958446,0.017431879124923583,0.045194405143216175,4.171166967030857e-06,0.31587738615804406,1.0553501653275408,0.31568458823217943,1.0557364776216631,0.31755656216181444,1.0630710455446886,0.31672548436193443,1.0625291863988067,-0.10290490890723625,-0.2433414976800936,-0.07502120524742573,-0.21984765639838777,-0.49501764796200365,-0.002232696655141006,0.0400013840669803,0.013876473645920762,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.014000000000000005,0.00035285597598843846,0.02021715820010704,0.04861229044885402,5.0860638172109695e-06,0.31615984117622253,1.0551254967344237,0.3159307290268419,1.0555837468481186,0.31807538756917414,1.0640707472005615,0.3171127895838259,1.0634415087410638,-0.11146887210188616,-0.2674383180198614,-0.08091430614070427,-0.24117354608444153,-0.5765579600927733,-0.002809254615233779,0.040018579914707024,0.013783902896770533,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.015000000000000006,0.0004048532021705533,0.023196379806729363,0.051997226182114845,6.124026226632702e-06,0.316461179139682,1.054877313751806,0.3161922075637236,1.0554143503267406,0.3186242976445476,1.065127806410936,0.3175215252333504,1.0644052619392443,-0.119907165766858,-0.2918746656621476,-0.08666686457931405,-0.26273605259467203,-0.6629836031635238,-0.0034722382183973027,0.04003689026274283,0.013685471598660376,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.016000000000000007,0.0004602028598216802,0.026367681587632922,0.055349657651126906,7.293132613114003e-06,0.31678087298484164,1.0546048890858142,0.31646841371331935,1.0552277017847524,0.3192020737106287,1.0662398229464811,0.3179506655329294,1.065418182948122,-0.12821626167174616,-0.3166410153261001,-0.09227824510521598,-0.28452624118100545,-0.7539932531690821,-0.0042262314715663845,0.0400562668741892,0.01358142159134057,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.017000000000000008,0.0005188724983448984,0.029729204260571473,0.05866963852321822,8.601555853608125e-06,0.31711840054889745,1.0543075142786251,0.31675874460756626,1.055023229575582,0.31980750791400203,1.067404420436164,0.3183991975889143,1.066478035258102,-0.13639194483353245,-0.34172639378760294,-0.09774726916942722,-0.3065337355009312,-0.8492733200952036,-0.0050755047916615885,0.04007666196345272,0.013471991511050774,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.01800000000000001,0.0005808294237054741,0.03327907459533951,0.06195692536057562,1.0057557182535882e-05,0.31747324458227977,1.0539844995463363,0.31706260463067487,1.0548003765564495,0.32043940106440266,1.0686192420346516,0.3188661196240866,1.0675826043006542,-0.14442947399189388,-0.36711870683484626,-0.10307234077937322,-0.3287470490125397,-0.9484982898996412,-0.00602400308156123,0.04009802814463744,0.01335741740839183,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.01900000000000001,0.000646040475987353,0.03701539266869813,0.06521105228187894,1.1669479900671019e-05,0.3178448927598648,1.0536351736169332,0.31737940540875675,1.0545585999659506,0.321096561089754,1.0698819473088967,0.3193504396926238,1.0687296940908284,-0.15232371312550397,-0.3928050038747326,-0.10825154918776558,-0.35115385185748593,-1.051331401289557,-0.007075334482850787,0.04012031838637182,0.013237933213625569,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.02000000000000001,0.0007144718658831972,0.04093622249594419,0.06843138989584417,1.3445742966024995e-05,0.3182328376909781,1.0532588835684111,0.31770856579829254,1.054297371301678,0.32177780198381023,1.0711902100924522,0.31985117478033126,1.0699171248495147,-0.16006923905802584,-0.4187716922538769,-0.11328275265073895,-0.3737411859263222,-1.1574255603501888,-0.008232760043200976,0.04014348597493477,0.013113771079851982,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.02100000000000001,0.0007860890576655752,0.045039585325653456,0.07161719178237798,1.5394834523385023e-05,0.3186365769282242,1.0528549946671022,0.3180495118734828,1.0540161761979274,0.3224819431457545,1.0725417171050045,0.32036735021081597,1.071142731399038,-0.16766042936711312,-0.4450047109645734,-0.11816364660997802,-0.39649563825314793,-1.2664244192911123,-0.009499184462492089,0.04016748448615851,0.012985161628678327,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.022000000000000013,0.0008608566887775114,0.04932345503255842,0.07476763111193616,1.752530541735769e-05,0.31905561297518015,1.052422890206261,0.3184016769125219,1.0537145143035238,0.32320780902967333,1.0739341671739677,0.3208979992929906,1.072404362166479,-0.17509153409459888,-0.47148967149788845,-0.12289181907988311,-0.41940348085982215,-1.3779635631811282,-0.010877148025673217,0.04019226776578433,0.01285233411827369,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.023000000000000013,0.0009387385182299912,0.05378575516094319,0.07788182945247986,1.9845762724377144e-05,0.3194894532929845,1.0519619713449575,0.31876450138283624,1.0533918991598143,0.32395422903709303,1.0753652709266615,0.32144216315738317,1.073699878661848,-0.18235673415064957,-0.4982119720827676,-0.12746479553646983,-0.4424507835548468,-1.4916717619396984,-0.012368819787612916,0.04021778991751208,0.012715516549890088,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.024000000000000014,0.0010196973976165475,0.05842435726390154,0.08095887938655627,2.2364863331658192e-05,0.3199376103058578,1.0514716569473246,0.3191374329253246,1.0530478580788594,0.3247200375982823,1.0768327508471243,0.32199889073862603,1.0750271553245068,-0.18945018879629716,-0.5251568903321182,-0.13188007519908984,-0.4656235049036681,-1.6071722550780283,-0.013975992042690944,0.040244005297785025,0.012574935725840092,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
