time_s,phase_rad,phase_deg,pitch_rate_rad_s,root_x_m,front_hip_target_rad,front_knee_target_rad,rear_hip_target_rad,rear_knee_target_rad,front_hip_position_rad,front_knee_position_rad,rear_hip_position_rad,rear_knee_position_rad,front_hip_torque_Nm,front_knee_torque_Nm,rear_hip_torque_Nm,rear_knee_torque_Nm,actuator_power_W,actuator_net_work_J,foot_gap_m,roundness_peak_to_peak_m,ground_contact_count,airborne,self_contact_pair_count,forbidden_contact_pair_count,allowed_foot_penetration_m,forbidden_penetration_m,leg_crossing
0.0,0.0,0.0,0.0,0.0,0.3141592653589793,1.056503219777376,0.3141592653589793,1.056503219777376,0.3141592654,1.05650322,0.3141592654,1.05650322,0.0,0.0,0.0,0.0,0.0,0.0,0.03989999997155766,0.012496235731063177,0.0,1.0,1.0,0.0,2.8442338761980324e-11,-0.0,0.0
0.001,-3.75523008244727e-14,-2.1515883482479272e-12,-3.7552300824472693e-11,-2.2519208021837863e-17,0.3141592653589793,1.056503219777376,0.3141592653589793,1.056503219777376,0.31415926540878825,1.0565032199896556,0.3141592654088486,1.0565032199896591,-4.1020697949534224e-10,-2.2262387489035973e-09,-4.1020697949534224e-10,-2.2262387489035973e-09,3.881534835243577e-17,3.881534835243577e-20,0.03989999997155766,0.012496235731063177,0.0,1.0,1.0,0.0,2.8442338761980324e-11,-0.0,0.0
0.002,4.305295423956517e-06,0.0002466752573496949,0.004305295461508818,2.837503869666228e-08,0.314154701614835,1.0565325764339193,0.3141870981728671,1.0565052439151068,0.314209761258366,1.0566015526089594,0.31419808114305275,1.0565943788100123,-4.563969717885641e-05,0.00029356651151424273,0.00027832587046594526,2.0241322626901592e-05,3.9211146836732986e-05,3.9211146836771805e-08,0.039899999978309536,0.012496235731083188,2.0,0.0,1.0,0.0,2.1690461926571203e-11,-0.0,0.0
0.003,1.2725532879347989e-05,0.000729119326041602,0.008420237455391472,9.269432978381796e-08,0.3141409333302448,1.0566200267799268,0.31427004948715187,1.0565104681662734,0.31430843547150783,1.056793467046364,0.3142738142030491,1.05677199888159,-0.010787449196773213,-0.019481782151069993,-0.007043463399841077,-0.01907087050799916,-0.00872407074338264,-8.68485959654587e-06,0.03990166802341686,0.012487793914714662,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.004,2.509311268426286e-05,0.001437729451654454,0.012367579804914871,2.011124360727097e-07,0.3141178484804902,1.0567646429607076,0.31440729929347117,1.0565176380309986,0.3144531993101983,1.0570747648437608,0.3143847883760866,1.057031976869353,-0.02164071253853317,-0.03867112833747477,-0.013811761095052333,-0.03806762282146536,-0.025440388589021524,-3.4125248185567396e-05,0.0399049819545159,0.012471318921666003,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.005,4.125660982493003e-05,0.0023638296199864567,0.016163497140667168,3.623550142449037e-07,0.314085339728873,1.056965499373666,0.314598028634528,1.0565255225495216,0.3146421498833867,1.0574416879840338,0.3145295127091884,1.0573706865918064,-0.03263136355134266,-0.05735221418032843,-0.02006243202307223,-0.05706014075092902,-0.049439915907436044,-8.356516409300344e-05,0.03990990782666728,0.01244717131896464,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.006,6.1075770682987e-05,0.0034993838906440004,0.019819160858056975,5.857005072539386e-07,0.3140433043646022,1.0572216728444257,0.3148414197760062,1.0565329141537063,0.3148735345805733,1.0578908299453598,0.31470665058077185,1.0577848857465026,-0.0437785698255273,-0.07558477945068631,-0.02582579595217771,-0.0761196688716641,-0.08018141624052924,-0.00016374658033353268,0.03991640488448504,0.01241567277887265,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.007,8.441773314843114e-05,0.004836779825466732,0.023341962465444142,8.809587393485537e-07,0.3139916442411455,1.0575322427977154,0.31513665637366123,1.0565386285165512,0.3151457218153355,1.0584190650015317,0.31491499391911626,1.0582716415289863,-0.0550958428316104,-0.09341426374161266,-0.031127516387802867,-0.09530240323876882,-0.11721528050172081,-0.0002809618608352535,0.0399244287739475,0.012377113481473273,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.008,0.0001111541982947602,0.006368666437450011,0.026736465146329054,1.2584472078096228e-06,0.31393026571504645,1.0578962914231083,0.31548292363567076,1.0565415043997768,0.31545717713862925,1.059023492045339,0.315153441792699,1.0588282712696706,-0.06659200795533327,-0.1108747470186362,-0.03598937050333939,-0.11465252778884327,-0.16015672661986174,-0.00044111858745511526,0.03993393356808271,0.01233175808211373,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.009000000000000001,0.00014115934305773434,0.008087834596047495,0.030005144762974133,1.7289657276065499e-06,0.3138590795852127,1.0583129038357202,0.3158794084803383,1.0565404034995995,0.31580644387671525,1.059701389988639,0.3154209826836258,1.0594522950272893,-0.07827204019291623,-0.12799129085763816,-0.040429907840154655,-0.13420462583756532,-0.20866638146281558,-0.0006497849689179308,0.039944873006335736,0.012279850518599478,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.010000000000000002,0.00017430831012164448,0.009987130504027717,0.033148967063910156,2.3037699675534724e-06,0.3137780010326833,1.0587811682319777,0.31632529968924644,1.0565342102908166,0.3161921275501536,1.060450182400707,0.3157166798429732,1.0601413977140768,-0.09013777605751416,-0.14478180622659664,-0.04446500812915355,-0.1539855988884593,-0.26243625300815937,-0.0009122212219260902,0.039957201219470655,0.012221617880542435,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.011000000000000003,0.0002104761471773875,0.012059394921438657,0.036167837055743,2.9945443170237724e-06,0.3136869495608836,1.0593001760405651,0.3168197880559598,1.0565218318693306,0.316612883430348,1.0612674095245702,0.31603965921071636,1.0608933988277411,-0.10218851458036049,-0.16125854601503598,-0.04810834973961731,-0.17401619580493666,-0.321179653579246,-0.0012334008755053361,0.03997087312350428,0.012157273520893214,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.012000000000000004,0.00024953709552267623,0.01429742240540222,0.039060948345288726,3.813374438761067e-06,0.31358584893637803,1.059869022068667,0.3173620665303787,1.0565021977932496,0.317067406683781,1.0621507061884794,0.3163890994600746,1.0617062282593681,-0.11442152097857816,-0.1774292993316422,-0.05137180035200828,-0.19431223307779533,-0.384624026853124,-0.0016180249023584601,0.039985844605484364,0.012087019555375111,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
