time_s,phase_rad,phase_deg,crossing_count,any_crossing,core_crossing_count,any_core_crossing,minimum_estimated_clearance_m,foot_endpoint_distance_m,self_contact_pair_count,any_self_contact,minimum_self_contact_distance_m,front_thigh__rear_thigh_crossing,front_thigh__rear_thigh_core_crossing,front_thigh__rear_thigh_centerline_distance_m,front_thigh__rear_thigh_estimated_clearance_m,front_thigh__rear_shank_crossing,front_thigh__rear_shank_core_crossing,front_thigh__rear_shank_centerline_distance_m,front_thigh__rear_shank_estimated_clearance_m,front_shank__rear_thigh_crossing,front_shank__rear_thigh_core_crossing,front_shank__rear_thigh_centerline_distance_m,front_shank__rear_thigh_estimated_clearance_m,front_shank__rear_shank_crossing,front_shank__rear_shank_core_crossing,front_shank__rear_shank_centerline_distance_m,front_shank__rear_shank_estimated_clearance_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04687307805245751,0.03989999997155766,1.0,1.0,-2.8442338761980324e-11,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17939881107808936,0.15739881107808934,0.0,0.0,0.17939881107808936,0.15739881107808934,0.0,0.0,0.06687307805245751,0.04687307805245751
0.001,-3.75523008244727e-14,-2.1515883482479272e-12,0.0,0.0,0.0,0.0,0.04687307805245751,0.03989999997155766,1.0,1.0,-2.8442338761980324e-11,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17939881107808936,0.15739881107808934,0.0,0.0,0.17939881107808936,0.15739881107808934,0.0,0.0,0.06687307805245751,0.04687307805245751
0.002,4.303287002580493e-06,0.00024656018328136485,0.0,0.0,0.0,0.0,0.04687307805864602,0.039899999978309536,1.0,1.0,-2.1690461926571203e-11,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17939881108293895,0.15739881108293893,0.0,0.0,0.17939881108293385,0.15739881108293383,0.0,0.0,0.06687307805864602,0.04687307805864602
0.003,1.2713470448123859e-05,0.0007284281996417925,0.0,0.0,0.0,0.0,0.04687621949447052,0.039901668487701075,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17940135342291336,0.15740135342291334,0.0,0.0,0.17940136031500356,0.15740136031500354,0.0,0.0,0.06687621949447052,0.04687621949447052
0.004,2.505289811571307e-05,0.0014354253266016116,0.0,0.0,0.0,0.0,0.04688240510886382,0.03990498468402491,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.17940637326226266,0.15740637326226264,0.0,0.0,0.17940636348025452,0.1574063634802545,0.0,0.0,0.06688240510886383,0.04688240510886382
0.005,4.115613438652365e-05,0.0023580728014210447,0.0,0.0,0.0,0.0,0.04689153713091221,0.03990991673134464,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17941380264105639,0.15741380264105637,0.0,0.0,0.1794137290449905,0.15741372904499049,0.0,0.0,0.06689153713091221,0.04689153713091221
0.006,6.086504854394933e-05,0.003487310401427173,0.0,0.0,0.0,0.0,0.046903519995948925,0.039916426681047244,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.1794235731761297,0.15742357317612968,0.0,0.0,0.17942337057057223,0.1574233705705722,0.0,0.0,0.06690351999594893,0.046903519995948925
0.007,8.402515289208244e-05,0.004814286633657787,0.0,0.0,0.0,0.0,0.0469182618060702,0.039924473626974134,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17943561765813368,0.15743561765813366,0.0,0.0,0.17943520720898007,0.15743520720898005,0.0,0.0,0.0669182618060702,0.0469182618060702
0.008,0.00011048291256394142,0.006330204598226741,0.0,0.0,0.0,0.0,0.04693567499115642,0.03993401568697509,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.1794498709310197,0.15744987093101967,0.0,0.0,0.17944916369721714,0.15744916369721712,0.0,0.0,0.06693567499115642,0.04693567499115642
0.009000000000000001,0.00014008381140774042,0.008026211171770102,0.0,0.0,0.0,0.0,0.046955676480949934,0.03994501120690814,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17946627031470616,0.15746627031470614,0.0,0.0,0.17946517007073773,0.1574651700707377,0.0,0.0,0.06695567648094994,0.046955676480949934
0.010000000000000002,0.00017267100611349047,0.00989331989458064,0.0,0.0,0.0,0.0,0.04697818759227028,0.03995741945626559,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.1794847557451696,0.15748475574516957,0.0,0.0,0.1794831612363973,0.15748316123639727,0.0,0.0,0.06697818759227028,0.04697818759227028
0.011000000000000003,0.00020808443751265984,0.011922360051829116,0.0,0.0,0.0,0.0,0.04700313376316448,0.039971200997034315,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.179505269746986,0.15750526974698598,0.0,0.0,0.17950307649211705,0.15750307649211703,0.0,0.0,0.06700313376316448,0.04700313376316448
0.012000000000000004,0.00024616029643491794,0.014103946069410043,0.0,0.0,0.0,0.0,0.04703044421719084,0.03998631784727448,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.17952775731311063,0.1575277573131106,0.0,0.0,0.1795248590452621,0.1575248590452621,0.0,0.0,0.06703044421719084,0.04703044421719084
0.013000000000000005,0.00028673076361527487,0.016428462611718517,0.0,0.0,0.0,0.0,0.04706005160870472,0.04000273351983455,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17955216573955032,0.1575521657395503,0.0,0.0,0.17954845555885496,0.15754845555885494,0.0,0.0,0.06706005160870472,0.04706005160870472
0.014000000000000005,0.00032962396038692946,0.018886061756558492,0.0,0.0,0.0,0.0,0.04709189167878962,0.040020412988745084,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17957844444445809,0.15757844444445807,0.0,0.0,0.17957381574017095,0.15757381574017093,0.0,0.0,0.06709189167878962,0.04709189167878962
0.015000000000000006,0.0003746640603807904,0.021466669395053928,0.0,0.0,0.0,0.0,0.04712590293777802,0.040039322617046576,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.1796065447892042,0.1576065447892042,0.0,0.0,0.17960089197723367,0.15760089197723365,0.0,0.0,0.06712590293777802,0.04712590293777802
0.016000000000000007,0.00042167152302663587,0.024159998610279745,0.0,0.0,0.0,0.0,0.047162026381653926,0.04005943006724395,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17963641991119395,0.15763641991119393,0.0,0.0,0.1796296390233424,0.15762963902334237,0.0,0.0,0.06716202638165393,0.047162026381653926
0.017000000000000008,0.00047046341795893326,0.026955568264346134,0.0,0.0,0.0,0.0,0.047200205244337656,0.04008070420727115,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17966802457321956,0.15766802457321955,0.0,0.0,0.1796600137267545,0.15766001372675448,0.0,0.0,0.06720020524433766,0.047200205244337656
0.01800000000000001,0.0005208538159695883,0.029842725398341086,0.0,0.0,0.0,0.0,0.04724038478475741,0.040103115019413695,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.1797013150310454,0.15770131503104537,0.0,0.0,0.17969197480113855,0.15769197480113853,0.0,0.0,0.06724038478475741,0.04724038478475741
0.01900000000000001,0.0005726542273047831,0.03281067034488938,0.0,0.0,0.0,0.0,0.04728251210594776,0.04012663351615419,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.1797362489190735,0.15773624891907348,0.0,0.0,0.17972548263184823,0.1577254826318482,0.0,0.0,0.06728251210594777,0.04728251210594776
0.02000000000000001,0.0006256740721715782,0.0358484836861951,0.0,0.0,0.0,0.0,0.047326536002637726,0.040151231664706244,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.1797727851528988,0.15777278515289878,0.0,0.0,0.17976049911304645,0.15776049911304643,0.0,0.0,0.06732653600263773,0.047326536002637726
0.02100000000000001,0.0006797211715349517,0.0389451543746406,0.0,0.0,0.0,0.0,0.04737240683357739,0.040176882320676684,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17981088384704474,0.15781088384704473,0.0,0.0,0.17979698751101353,0.1577969875110135,0.0,0.0,0.0673724068335774,0.04737240683357739
0.022000000000000013,0.0007346022488285756,0.04208960847869651,0.0,0.0,0.0,0.0,0.04742007641494819,0.040203559170516885,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.179850506245972,0.157850506245972,0.0,0.0,0.1798349123494223,0.1578349123494223,0.0,0.0,0.0674200764149482,0.04742007641494819
0.023000000000000013,0.000790123435215594,0.04527073813223186,0.0,0.0,0.0,0.0,0.04746949793148518,0.04023123668201859,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17989161466645712,0.1578916146664571,0.0,0.0,0.17987423931287505,0.15787423931287503,0.0,0.0,0.06746949793148518,0.04746949793148518
0.024000000000000014,0.0008460907726301706,0.04847743035667172,0.0,0.0,0.0,0.0,0.047520625862295274,0.04025989006192108,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17993417244954407,0.15793417244954405,0.0,0.0,0.1799149351655137,0.1579149351655137,0.0,0.0,0.06752062586229528,0.047520625862295274
