phase_rad,phase_deg,root_x_m,root_z_m,circle_center_x_m,circle_center_z_m,contact_x_m,contact_z_m,com_x_m,com_z_m,com_offset_x_m,com_offset_z_m,com_offset_radius_m,potential_energy_J,potential_from_min_J,gravity_torque_Nm,inertia_about_contact_kg_m2
0.0,0.0,0.0,0.250776265288144,0.0,0.147547621252806,0.0,0.0,0.011876971608832807,0.22040161863975213,0.011876971608832807,0.07285399738694615,0.07381576653977236,6.853983415973421,4.561092317663915,0.3693465000000001,0.19154552810264133
0.017453292519943295,1.0,0.0043767800460214066,0.25076054306565826,0.002575191794347025,0.147547621252806,0.002575191794347025,0.0,0.015721832055854184,0.22018324088731245,0.013146640261507159,0.07263561963450646,0.07381576653977238,6.847192370141378,4.554301271831871,0.4088302748602713,0.1913412462151109
0.03490658503988659,2.0,0.008753011310808976,0.2507133811873423,0.00515038358869405,0.14754762125280602,0.00515038358869405,0.0,0.01956268790889754,0.219942737621495,0.01441230432020349,0.07239511636868898,0.07381576653977234,6.839713271731966,4.54682217342246,0.44818951605839213,0.19111626697363807
0.05235987755982989,3.0000000000000004,0.013128145180292951,0.2506347940191611,0.007725575383041076,0.147547621252806,0.007725575383041076,0.0,0.023399153634429824,0.2196801821019244,0.015673578251388747,0.0721325608491184,0.07381576653977234,6.831548398951015,4.538657300641509,0.48741223438821196,0.1908706589090792
0.06981317007977318,4.0,0.017501633374680817,0.25052480549952744,0.010300767177388103,0.147547621252806,0.010300767177388103,0.0,0.02723084503619339,0.2193956543055554,0.016930077858805286,0.07184803305274942,0.0738157665397724,6.822700238897872,4.529809140588366,0.5264864822297692,0.1906044968360302
0.08726646259971647,5.0,0.02187292811546862,0.2503834491320098,0.012875958971735121,0.147547621252806,0.012875958971735121,0.0,0.031057379372235794,0.219089240902311,0.01818142040050067,0.071541619649505,0.0738157665397724,6.813171486807798,4.520280388498292,0.5654003571886499,0.1903178618300367
0.10471975511965978,6.000000000000001,0.02624148229229966,0.25021076797512715,0.015451150766082155,0.147547621252806,0.015451150766082155,0.0,0.034878375471496845,0.21876103522868207,0.019427224705414692,0.07121341397587608,0.07381576653977236,6.802965045230987,4.510073946921481,0.6041420057215746,0.19001084120289824
0.12217304763960307,7.0,0.030606749629619512,0.25000681462923263,0.018026342560429176,0.14754762125280596,0.018026342560429176,0.0,0.038693453849916876,0.21841113725929626,0.0206671112894877,0.0708635160064903,0.07381576653977236,6.792084023148418,4.499192924838912,0.6426996267471018,0.18968352847607214
0.13962634015954636,8.0,0.034968184853076956,0.2497716512204912,0.0206015343547762,0.14754762125280602,0.0206015343547762,0.0,0.042502236826031325,0.21803965357646465,0.021900702471255126,0.07049203232365864,0.07381576653977234,6.780531735024827,4.48764063671532,0.6810614752403507,0.18933602335218566
0.15707963267948966,9.0,0.03932524385561975,0.24950534938195518,0.02317672614912323,0.14754762125280602,0.02317672614912323,0.0,0.046304348636016165,0.2176466973377156,0.023127622486892936,0.07009907608490959,0.07381576653977238,6.76831169979908,4.475420601489573,0.7192158658106507,0.18896843168466587
0.17453292519943295,10.0,0.04367738386323493,0.24920799023174428,0.025751917943470246,0.14754762125280596,0.025751917943470246,0.0,0.05009941554814918,0.217232388241326,0.024347497604678935,0.06968476698852005,0.07381576653977238,6.755427639812285,4.462536541502779,0.7571511762610242,0.18858086544549565
0.19198621771937624,11.0,0.04802406360028308,0.24887966434833636,0.02832710973781728,0.147547621252806,0.02832710973781728,0.0,0.05388706597665231,0.21679685248986033,0.025559956238835033,0.06924923123705434,0.07381576653977241,6.741883479673931,4.448992381364425,0.7948558511284204,0.18817344269110597
0.20943951023931956,12.000000000000002,0.05236474345437604,0.24852047174297595,0.03090230153216431,0.14754762125280602,0.03090230153216431,0.0,0.05766693059488025,0.2163402227517274,0.026764629062715938,0.06879260149892139,0.07381576653977238,6.727683345066395,4.4347922467568885,0.8323184052036217,0.18774628752641453
0.22689280275926285,13.0,0.056698885640748146,0.24813052182921028,0.03347749332651133,0.147547621252806,0.03347749332651133,0.0,0.061438642447820865,0.21586263812076897,0.027961149121309536,0.06831501686796299,0.07381576653977236,6.712831561488239,4.419940463178732,0.8695274270297477,0.18729953006702244
