time_s,phase_rad,phase_deg,crossing_count,any_crossing,core_crossing_count,any_core_crossing,minimum_estimated_clearance_m,foot_endpoint_distance_m,self_contact_pair_count,any_self_contact,minimum_self_contact_distance_m,front_thigh__rear_thigh_crossing,front_thigh__rear_thigh_core_crossing,front_thigh__rear_thigh_centerline_distance_m,front_thigh__rear_thigh_estimated_clearance_m,front_thigh__rear_shank_crossing,front_thigh__rear_shank_core_crossing,front_thigh__rear_shank_centerline_distance_m,front_thigh__rear_shank_estimated_clearance_m,front_shank__rear_thigh_crossing,front_shank__rear_thigh_core_crossing,front_shank__rear_thigh_centerline_distance_m,front_shank__rear_thigh_estimated_clearance_m,front_shank__rear_shank_crossing,front_shank__rear_shank_core_crossing,front_shank__rear_shank_centerline_distance_m,front_shank__rear_shank_estimated_clearance_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04687307805245751,0.03989999997155766,1.0,1.0,-2.8442338761980324e-11,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17939881107808936,0.15739881107808934,0.0,0.0,0.17939881107808936,0.15739881107808934,0.0,0.0,0.06687307805245751,0.04687307805245751
0.001,-3.75523008244727e-14,-2.1515883482479272e-12,0.0,0.0,0.0,0.0,0.04687307805245751,0.03989999997155766,1.0,1.0,-2.8442338761980324e-11,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17939881107808936,0.15739881107808934,0.0,0.0,0.17939881107808936,0.15739881107808934,0.0,0.0,0.06687307805245751,0.04687307805245751
0.002,4.305819290755075e-06,0.0002467052727062793,0.0,0.0,0.0,0.0,0.04687307805864602,0.039899999978309536,1.0,1.0,-2.1690461926571203e-11,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17939881108293895,0.15739881108293893,0.0,0.0,0.17939881108293385,0.15739881108293383,0.0,0.0,0.06687307805864602,0.04687307805864602
0.003,1.2728493424025675e-05,0.0007292889527566933,0.0,0.0,0.0,0.0,0.04687621870178833,0.03990166795181675,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17940135274859087,0.15740135274859085,0.0,0.0,0.17940135971567936,0.15740135971567934,0.0,0.0,0.06687621870178834,0.04687621870178833
0.004,2.5102365967423044e-05,0.0014382596257261722,0.0,0.0,0.0,0.0,0.046882400433548896,0.039904981540727705,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.1794063692953959,0.1574063692953959,0.0,0.0,0.17940635993284806,0.15740635993284804,0.0,0.0,0.0668824004335489,0.046882400433548896
0.005,4.1278256664881684e-05,0.002365069892555482,0.0,0.0,0.0,0.0,0.04689152182465588,0.03990990649954767,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17941378969153488,0.15741378969153486,0.0,0.0,0.17941371738584422,0.1574137173858442,0.0,0.0,0.06689152182465588,0.04689152182465588
0.006,6.111825243468585e-05,0.003501817915722667,0.0,0.0,0.0,0.0,0.04690348240258799,0.03991640169037124,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17942354146328604,0.15742354146328602,0.0,0.0,0.17942334182139447,0.15742334182139445,0.0,0.0,0.06690348240258799,0.04690348240258799
0.007,8.449175991439531e-05,0.004841021246727481,0.0,0.0,0.0,0.0,0.0469181842011242,0.03992442230988171,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17943555237787567,0.15743555237787565,0.0,0.0,0.17943514763007853,0.15743514763007851,0.0,0.0,0.0669181842011242,0.0469181842011242
0.008,0.00011127254050893041,0.006375446946860198,0.0,0.0,0.0,0.0,0.04693553249449865,0.03993392192708219,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.1794497513916239,0.15744975139162387,0.0,0.0,0.17944905388518742,0.1574490538851874,0.0,0.0,0.06693553249449866,0.04693553249449865
0.009000000000000001,0.0001413365115593923,0.008097985603455152,0.0,0.0,0.0,0.0,0.04695543603145291,0.03994485373246562,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17946606912879773,0.1574660691287977,0.0,0.0,0.1794649840950111,0.15746498409501108,0.0,0.0,0.06695543603145292,0.04695543603145291
0.010000000000000002,0.0001745601451539245,0.010001559588510905,0.0,0.0,0.0,0.0,0.04697780697663151,0.03995717127111071,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.1794844380688158,0.1574844380688158,0.0,0.0,0.17948286581103914,0.15748286581103912,0.0,0.0,0.06697780697663151,0.04697780697663151
0.011000000000000003,0.00021081933298661322,0.012079058019896075,0.0,0.0,0.0,0.0,0.0470025606935008,0.039970828843645397,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.1795047925593248,0.15750479255932479,0.0,0.0,0.17950263018061244,0.15750263018061242,0.0,0.0,0.0670025606935008,0.0470025606935008
0.012000000000000004,0.000249988614220353,0.014323292521150341,0.0,0.0,0.0,0.0,0.047029615453670764,0.03998578169820459,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17952706873175692,0.1575270687317569,0.0,0.0,0.17952421149691747,0.15752421149691745,0.0,0.0,0.06702961545367077,0.047029615453670764
0.013000000000000005,0.0002919406855022631,0.016726969147435777,0.0,0.0,0.0,0.0,0.047058892124660995,0.04000198609494795,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.17955120436835442,0.1575512043683544,0.0,0.0,0.1795475467760285,0.15754754677602847,0.0,0.0,0.067058892124661,0.047058892124660995
0.014000000000000005,0.0003365461295914673,0.01928267283705394,0.0,0.0,0.0,0.0,0.04709031386657414,0.0400193992964879,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17957713875116207,0.15757713875116205,0.0,0.0,0.17957257537592058,0.15757257537592056,0.0,0.0,0.06709031386657414,0.04709031386657414
0.015000000000000006,0.00038367331260145195,0.0219828615238667,0.0,0.0,0.0,0.0,0.04712380585417754,0.04003797951853697,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17960481251125227,0.15760481251125225,0.0,0.0,0.17959923866319394,0.15759923866319392,0.0,0.0,0.06712380585417754,0.04712380585417754
0.016000000000000007,0.00043318841047868385,0.02481986765440927,0.0,0.0,0.0,0.0,0.047159295032062856,0.04005768586235289,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17963416748846256,0.15763416748846254,0.0,0.0,0.17962747972777357,0.15762747972777355,0.0,0.0,0.06715929503206286,0.047159295032062856
0.017000000000000008,0.0004849555336832099,0.02778590533156236,0.0,0.0,0.0,0.0,0.04719670990512467,0.040078478242119776,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.17966514660680474,0.15766514660680472,0.0,0.0,0.17965724314276613,0.1576572431427661,0.0,0.0,0.06719670990512468,0.04719670990512467
0.01800000000000001,0.0005388369256039852,0.030873081682913077,0.0,0.0,0.0,0.0,0.04723598036341793,0.04010031731488986,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17969769376750527,0.15769769376750525,0.0,0.0,0.17968847476511118,0.15768847476511116,0.0,0.0,0.06723598036341794,0.04723598036341793
0.01900000000000001,0.0005946932154173405,0.03407341134847791,0.0,0.0,0.0,0.0,0.047277037538713124,0.04012316441715372,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17973175375970715,0.15773175375970713,0.0,0.0,0.17972112157206233,0.1577211215720623,0.0,0.0,0.06727703753871313,0.047277037538713124
0.02000000000000001,0.0006523837101807179,0.03737883321644101,0.0,0.0,0.0,0.0,0.04731981368925639,0.040146981509877645,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17976727218776825,0.15776727218776823,0.0,0.0,0.17975513152850386,0.15775513152850384,0.0,0.0,0.0673198136892564,0.04731981368925639
0.02100000000000001,0.0007117667141790888,0.04078122872035615,0.0,0.0,0.0,0.0,0.04736424210898296,0.04017173113247628,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.12599999999999995,0.0,0.0,0.17980419541352638,0.15780419541352636,0.0,0.0,0.17979045348039396,0.15779045348039394,0.0,0.0,0.06736424210898297,0.04736424210898296
0.022000000000000013,0.0007726998660906572,0.04427244115731853,0.0,0.0,0.0,0.0,0.04741025705751771,0.0401973763654015,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17984247051167643,0.1578424705116764,0.0,0.0,0.17982703707007225,0.15782703707007223,0.0,0.0,0.06741025705751771,0.04741025705751771
0.023000000000000013,0.0008350404865545141,0.04784429560212443,0.0,0.0,0.0,0.0,0.047457793707556914,0.04022388080059877,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17988204523637677,0.15788204523637675,0.0,0.0,0.17986483266968148,0.15786483266968146,0.0,0.0,0.06745779370755692,0.047457793707556914
0.024000000000000014,0.0008986459303181368,0.05148861908383671,0.0,0.0,0.0,0.0,0.04750678810657795,0.04025120851889064,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17992286799730067,0.15792286799730065,0.0,0.0,0.17990379132946466,0.15790379132946464,0.0,0.0,0.06750678810657795,0.04750678810657795
