time_s,phase_rad,phase_deg,pitch_rate_rad_s,root_x_m,front_hip_target_rad,front_knee_target_rad,rear_hip_target_rad,rear_knee_target_rad,front_hip_position_rad,front_knee_position_rad,rear_hip_position_rad,rear_knee_position_rad,front_hip_torque_Nm,front_knee_torque_Nm,rear_hip_torque_Nm,rear_knee_torque_Nm,actuator_power_W,actuator_net_work_J,foot_gap_m,roundness_peak_to_peak_m,ground_contact_count,airborne
0.0,0.0,0.0,0.0,0.0,0.3141592653589793,1.2566370614359172,0.3141592653589793,1.2566370614359172,0.3141592654,1.256637061,0.3141592654,1.256637061,0.0,0.0,0.0,0.0,0.0,0.0,9.580503057549095e-11,5.1356030539295716e-11,4.0,0.0
0.002,1.0906271254243514e-05,0.0006248833130930041,0.005453135627121757,1.0970341666933463e-07,0.3141592653589793,1.2566370614359172,0.3141592653589793,1.2566370614359172,0.31429155660643754,1.256916795660647,0.3142646233424004,1.2569016849176755,-4.1020697949534224e-10,4.359172578460857e-09,-4.1020697949534224e-10,4.359172578460857e-09,1.1377338239745394e-09,2.275467647949079e-12,9.580503057549095e-11,5.1356030539295716e-11,4.0,0.0
0.004,3.3353082910084374e-05,0.0019109908844977485,0.01122340582792043,3.790885904646069e-07,0.3141677031982299,1.2566168859099067,0.31423102710279743,1.2565793204658968,0.3145585950137873,1.2574828321316467,0.3144761371310939,1.257436038025697,-0.01446765472583289,-0.03097256357211009,-0.010871756636070984,-0.029686036285335504,-0.01977868612399929,-3.955736997253093e-05,6.8655841375182685e-06,3.486431679733393e-05,4.0,0.0
0.006,6.771805620332601e-05,0.003879958817280284,0.017182486646620816,8.658304812272682e-07,0.31419209744558446,1.2565533107052562,0.31444383272306514,1.2564036294006866,0.31496003030103953,1.2583353624176339,0.31479272169912215,1.2582395031827602,-0.03036881641700262,-0.06589886136385736,-0.021474422949636196,-0.06375939705226408,-0.06319940727332095,-0.00016595618451917282,2.0330768094360556e-05,0.00010526133989932629,4.0,0.0
0.008,0.00011417134064604416,0.00654153596036876,0.023226642221359076,1.6348478140321718e-06,0.3142310991482162,1.256441931203551,0.31479397340099197,1.2561064815959258,0.31549339069885346,1.2594698778976807,0.3152119198466956,1.259307303345602,-0.047432840253457176,-0.10418734073953928,-0.03164593978412755,-0.10167673157466339,-0.13266864965465242,-0.0004312934838284776,4.0128639189756055e-05,0.00021111810071774983,4.0,0.0
0.01,0.00017271354020542505,0.009895756918533912,0.029271099779690456,2.7578182488229092e-06,0.3142833989554914,1.256278563486249,0.3152777562095176,1.2556846259215955,0.3161545950541789,1.260878391714432,0.3157302808932304,1.2606316334848728,-0.06543595721501605,-0.14536469211899394,-0.04126145112912605,-0.1430067905242307,-0.22939562451166787,-0.0008900847328518134,6.598094388005566e-05,0.00035181730088387764,4.0,0.0
0.012,0.00024320531592126853,0.013934638157434532,0.03524588785792174,4.312671695887914e-06,0.31434772668338234,1.2560592396889807,0.3158915061955705,1.2551350602485205,0.3169383373929704,1.2625503357964132,0.3163436409445008,1.2622024836016097,-0.0841891192405102,-0.18904290192963025,-0.05022385163008103,-0.18739874629062392,-0.3536161925169768,-0.0015973171178857671,9.759469141885675e-05,0.0005263407792279462,4.0,0.0
0.014,0.00032539085806362796,0.018643522859186294,0.04109277107117972,6.3830706590047505e-06,0.3144228508613593,1.2557802033850665,0.31663156832621914,1.2544550250335977,0.31783837791663533,1.2644732238805152,0.317047330555175,1.264008240313194,-0.10352909919525732,-0.23489573231159788,-0.0584567313098554,-0.23455959735380105,-0.5047757755037771,-0.002606868668893321,0.000134661927110265,0.0007333744660958097,4.0,0.0
0.016,0.0004189168492790624,0.0240021674306083,0.04676299560771724,9.05788516333114e-06,0.3145075782647631,1.255437905008774,0.31749430930622263,1.2536419970127748,0.31884776551958083,1.2666331461741518,0.3178363291012428,1.2660361296974039,-0.12331204888521485,-0.2826419971276195,-0.06589917355693942,-0.28423810416263784,-0.6816760951476295,-0.00397022085918858,0.00017686103993248419,0.0009713855758532175,4.0,0.0
0.018000000000000002,0.0005233481060372471,0.02998563769209934,0.05221562837909234,1.2430668524722822e-05,0.31460075343525457,1.2550289973268713,0.31847611927404873,1.2526936830086475,0.3199590101861051,1.2690151426716807,0.31870538014330546,1.268272546210425,-0.14340888113781558,-0.33203371783645785,-0.07250195287872696,-0.33621340530853594,-0.8825933082382347,-0.005735407475665049,0.00022385870604189808,0.0012386798250539344,4.0,0.0
0.020000000000000004,0.000638180761711685,0.03656506421252363,0.05741632783721891,1.659913902644222e-05,0.3147012581916034,1.254550330965419,0.31957341338302675,1.251608013857823,0.32116421859865585,1.271603488714422,0.319649078239096,1.2707032996527365,-0.1637019865974465,-0.3828477668155177,-0.07822477180905185,-0.39028697482812547,-1.1053747446802407,-0.007946156965025531,0.00027531201468263927,0.0015334442741291587,4.0,0.0
0.022000000000000006,0.000762853615717908,0.043708292566930894,0.06233642700311152,2.166467153055036e-05,0.31480801113279067,1.2539989499974,0.320782633273926,1.250383138461761,0.32245520258553984,1.2743819167452124,0.3206619348115144,1.2733138029605464,-0.18408291591372228,-0.43487999144435996,-0.08303425923075203,-0.4462769561409061,-1.347520060182651,-0.010641197085390833,0.0003308705582951132,0.0018537798021672214,4.0,0.0
0.024000000000000007,0.0008967580983723544,0.05138045428091341,0.06695224132722316,2.7731802174294037e-05,0.3149199671351467,1.2533720875956407,0.3221002484448868,1.24901741796362,0.32382356733430057,1.277333791313584,0.3217384285776178,1.2760892170337725,-0.20445075319233075,-0.4879410945747473,-0.08690252090811379,-0.5040141807502518,-1.6062510919203596,-0.013853699269231553,0.0003901783910457076,0.002197726079130935,4.0,0.0
0.02600000000000001,0.0010392471739923124,0.05954447694065743,0.07124453780997898,3.490774857701798e-05,0.315036116845022,1.2526671617544702,0.32352275752428405,1.2475094200525934,0.32526078434152467,1.2804422494711902,0.32287304451126064,1.2790145641338395,-0.22471097976886023,-0.5418537524283131,-0.0898060871436801,-0.5633393771344117,-1.8785733947320447,-0.01761084605869564,0.0004528758220155735,0.0025632810779891713,4.0,0.0
