time_s,phase_rad,phase_deg,pitch_rate_rad_s,root_x_m,root_z_m,circle_center_x_m,circle_center_z_m,com_x_m,com_z_m,potential_energy_J,kinetic_energy_J,total_energy_J,energy_change_J,ground_contact_count,normal_force_sum_N,normal_force_max_N,tangential_force_sum_N,contact_slip_weighted_m_s,contact_slip_max_m_s,nominal_circle_slip_m_s,joint_error_max_rad,front_hip_error_rad,front_knee_error_rad,rear_hip_error_rad,rear_knee_error_rad,front_hip_torque_Nm,front_knee_torque_Nm,rear_hip_torque_Nm,rear_knee_torque_Nm,actuator_power_W,saturated_actuator_count,joint_damping_power_W,foot_gap_m,roundness_rms_m,roundness_peak_to_peak_m,airborne
0.0,0.0,0.0,0.0,0.0,0.2507762653,0.0,0.147547621264662,0.011876971608832807,0.22040161865160818,6.853983416342117,0.0,6.853983416342117,0.0,4.0,9.547449120491127,2.4579132344330477,5.340156451550902,0.0,0.0,0.0,4.359173022550067e-10,4.102068684730398e-11,-4.359173022550067e-10,4.102068684730398e-11,-4.359173022550067e-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,9.580503057549095e-11,1.0372605185694957e-11,5.1356030539295716e-11,0.0
0.002,1.090627135133483e-05,0.0006248833186559267,0.005453135675667415,1.097034176674215e-07,0.25074717991931106,0.0,0.147547621264662,0.011876971608832807,0.22040161865160818,6.853983416342117,0.0003903443723125423,6.854373760714429,0.00039034437231233454,4.0,9.547449120491127,2.4579132344330477,5.340156451550902,0.00018451140938361189,0.00021802463423771967,-0.0013126652899862245,0.0002797342237392808,0.00013229124709407403,0.0002797342237392808,0.00010535798281507969,0.0002646234806298331,0.0,0.0,0.0,0.0,0.0,0.0,-0.00088439278062765,9.580503057549095e-11,1.0372605185694957e-11,5.1356030539295716e-11,0.0
0.004,3.340845659823137e-05,0.0019141635631246448,0.01125109262344827,3.763937975590303e-07,0.2506904078086953,-1.0161361853900074e-06,0.14751853589011238,0.011877229887704406,0.22037442618613362,6.853137793208529,0.0015081873868611879,6.85464598059539,0.0006625642532736009,4.0,10.680167955602663,2.758121825392948,5.847891170980247,0.00026015967581539934,0.00031694948297113223,-0.0026881617979253856,0.0008458654537348842,0.0003994359422466176,0.0008458654537348842,0.00031680552284529817,0.0007989787552877825,-0.014552032668074144,-0.030770812562231242,-0.011589373597381769,-0.02910863082019688,-0.019656355624641113,0.0,-0.0036105823973202112,6.865584100361684e-06,9.11276819614448e-06,3.4864316666299855e-05,0.0
0.006,6.804281372683885e-05,0.00389856605274269,0.017317178564303745,8.499377552974173e-07,0.2506072535172317,-3.0723158757483035e-06,0.1474617638309653,0.011877804514832724,0.22032147113127856,6.851491012799163,0.003273268628539581,6.854764281427703,0.0007808650855860577,4.0,11.707643003632018,3.0319512175222676,6.291938254028236,0.0002636741325213756,0.00033737742277118767,-0.0041059653826766,0.0016988737110228413,0.0008013964798563866,0.0016988737110228413,0.0006330725995140063,0.001602465213995652,-0.030708828527516108,-0.06507178189608176,-0.024312808821269183,-0.06142531937783957,-0.06244712890574959,0.0,-0.008174053569543021,2.033150867859994e-05,2.7515647604697576e-05,0.00010527094788420621,0.0
0.008,0.00011522834027670375,0.006602097578152441,0.02359276327493245,1.5828337352034768e-06,0.2504989608292616,-6.174029636653285e-06,0.14737860972085892,0.011878750371848027,0.220244050556091,6.849083410978153,0.0056043088649233965,6.854687719843077,0.0007043035009601795,4.0,12.6649199806145,3.2888147452736867,6.692374192582457,0.00021905196608932475,0.00030569486111055224,-0.00555005705579339,0.0028347355496749493,0.0013362070772995893,0.0028347355496749493,0.00105142073881076,0.002670352812389254,-0.0482100181493319,-0.10228956719820026,-0.0379574332518029,-0.0963733023699227,-0.1303826602361576,0.0,-0.014458017900497805,4.013351349417935e-05,5.5195150098220375e-05,0.00021117607625126267,0.0
0.01,0.00017529266446692778,0.010043529853557815,0.03003216209511201,2.6302021514948783e-06,0.25036673570180557,-1.0312031559680693e-05,0.14727031747923636,0.011880120537422286,0.22014337291095495,6.845952567773005,0.008419459629874998,6.85437202740288,0.0003886110607629334,4.0,13.576416407934605,3.5353620570589936,7.063557385760616,0.000142104337505965,0.0002391786340844252,-0.007007669192964243,0.0042461461268146206,0.0020004722241502293,0.0042461461268146206,0.0015680426916220291,0.003994928851443369,-0.06684313010710685,-0.14193354372112843,-0.05234902090757387,-0.13349229232242799,-0.2242967058565931,0.0,-0.022273639639724434,6.599846106379539e-05,9.199888215665237e-05,0.00035201119780078893,0.0
0.012,0.0002484904901686267,0.014237456335799386,0.03659891285084944,4.049729077422541e-06,0.2502117616786103,-1.5465021818097332e-05,0.1471380932524476,0.01188196722142485,0.2200205888169436,6.842134264852669,0.011637236437945923,6.853771501290615,-0.0002119150515014212,4.0,14.45886389734898,3.7762344600876694,7.415648780982576,9.972325634172417e-05,0.00014921836130754422,-0.008468375098735645,0.0059234139842361255,0.002789737264525416,0.0059234139842361255,0.002178362226854469,0.005566335785039289,-0.0864312365163582,-0.1836025233412819,-0.06734262178713823,-0.17240689677901777,-0.3440948374746625,0.0,-0.031389882277685924,9.76413213346416e-05,0.00013767345332410955,0.0005268266563811241,0.0
0.014,0.0003350166890564354,0.01919504234938038,0.043263099443904336,5.901573594527788e-06,0.2500352098970211,-2.1601607014376866e-05,0.14698312083032883,0.011884342385250227,0.2198768121658163,6.837663141688908,0.015177553175195268,6.852840694864103,-0.001142721478013975,4.0,15.323468697742067,4.014619640068915,7.7557514377663574,0.00011177583780516992,0.0001745686534723595,-0.009923435994156394,0.007855119918153797,0.0036987652763314505,0.007855119918153797,0.0028772598721250042,0.007373186695065925,-0.10682387627256684,-0.22696092994368477,-0.0828155753815829,-0.21280405556914594,-0.488956241544768,0.0,-0.041554939355047706,0.0001347652102978693,0.00019189227554713053,0.0007343966056938822,0.0
0.016,0.0004350155880707003,0.02492455721885269,0.049999449507132435,8.248247106563784e-06,0.2498382452348949,-2.8681744299059897e-05,0.14680657165467748,0.011887298142872937,0.219713134254451,6.832573135104642,0.01896269334479095,6.851535828449433,-0.0024475878926839556,4.0,16.177488029739756,4.252655891191976,8.08875387411384,0.00019398012467860702,0.00030439206705265565,-0.011365337969478188,0.01002860594250543,0.004721745477919759,0.01002860594250543,0.003659243928832878,0.009403020859177325,-0.1278904535337091,-0.27172179693248566,-0.09866236283809782,-0.25441696231248656,-0.6574947834247161,0.0,-0.052511278948161724,0.00017706288009051744,0.0002542760488778499,0.0009732961340903901,0.0
0.018000000000000002,0.0005485875836769795,0.031431753237970816,0.05678599780313958,1.1154471356976542e-05,0.24962202972262465,-3.665782076788313e-05,0.14660961096697678,0.011890887008432318,0.21953063294088807,6.826897764005857,0.022918156088083088,6.849815920093939,-0.004167496248177471,4.0,17.025373964483876,4.491725091029799,8.417948215536729,0.00032459530171645857,0.00044063116166809246,-0.012787467442454957,0.012430341668268063,0.00585245163554915,0.012430341668268063,0.004518581061443205,0.011642644057417995,-0.14951547452781933,-0.3176346662193854,-0.11479084454890698,-0.29701362936208575,-0.8478876215134324,0.0,-0.06400601644443393,0.00022421878233567572,0.0003244079643895765,0.0012419583316004845,0.0
