generation,objective,generation_best_score,generation_best_phase_deg,generation_best_final_phase_deg,generation_best_rate_rad_s,generation_best_coupling_per_s,generation_best_collision_penalty,generation_best_forbidden_contact_s,generation_best_max_forbidden_penetration_mm,generation_best_foot_contact_s,generation_best_min_foot_surface_gap_mm,global_best_score,global_best_phase_deg,global_best_final_phase_deg,population_mean_score,population_std_score
0,sustained,62.87282879287056,3543.137330037244,3543.137330037244,4.508254974762862,4.126874756617964,4.6518404253086985,0.098,0.6692130782205031,0.129,-1.2984473283233697,62.87282879287056,3543.137330037244,3543.137330037244,-128.35662341593695,167.6382119758911
1,sustained,62.87282879287056,3543.137330037244,3543.137330037244,4.508254974762862,4.126874756617964,4.6518404253086985,0.098,0.6692130782205031,0.129,-1.2984473283233697,62.87282879287056,3543.137330037244,3543.137330037244,-141.32289259923186,184.21600678479516
2,sustained,62.87282879287056,3543.137330037244,3543.137330037244,4.508254974762862,4.126874756617964,4.6518404253086985,0.098,0.6692130782205031,0.129,-1.2984473283233697,62.87282879287056,3543.137330037244,3543.137330037244,-74.54146227870861,101.17612862916063
3,sustained,62.87282879287056,3543.137330037244,3543.137330037244,4.508254974762862,4.126874756617964,4.6518404253086985,0.098,0.6692130782205031,0.129,-1.2984473283233697,62.87282879287056,3543.137330037244,3543.137330037244,-48.45365373026578,54.971014405940174
4,sustained,62.87282879287056,3543.137330037244,3543.137330037244,4.508254974762862,4.126874756617964,4.6518404253086985,0.098,0.6692130782205031,0.129,-1.2984473283233697,62.87282879287056,3543.137330037244,3543.137330037244,-21.0122539019394,45.577167934564976
5,sustained,62.87282879287056,3543.137330037244,3543.137330037244,4.508254974762862,4.126874756617964,4.6518404253086985,0.098,0.6692130782205031,0.129,-1.2984473283233697,62.87282879287056,3543.137330037244,3543.137330037244,-9.778217202933691,44.68980244733322
6,sustained,62.87282879287056,3543.137330037244,3543.137330037244,4.508254974762862,4.126874756617964,4.6518404253086985,0.098,0.6692130782205031,0.129,-1.2984473283233697,62.87282879287056,3543.137330037244,3543.137330037244,7.709217349650461,41.92393458071292
7,sustained,63.34974037057923,3074.611703339307,3074.611703339307,3.0183242970094666,4.179571939858103,1.6675510825316737,0.079,0.40740169430796697,0.083,-0.25080369749921894,63.34974037057923,3074.611703339307,3074.611703339307,29.067876501628902,36.898217874442
8,sustained,65.87680228047653,3154.5182739960674,3154.5182739960674,3.293686514106665,4.4804737478658705,2.5192277843055195,0.073,0.740488271526207,0.075,-0.37660561934280135,65.87680228047653,3154.5182739960674,3154.5182739960674,32.146903485661475,30.909966617177552
9,sustained,65.87680228047653,3154.5182739960674,3154.5182739960674,3.293686514106665,4.4804737478658705,2.5192277843055195,0.073,0.740488271526207,0.075,-0.37660561934280135,65.87680228047653,3154.5182739960674,3154.5182739960674,37.593079074413886,27.041624976565448
