time_s,phase_rad,phase_deg,crossing_count,any_crossing,core_crossing_count,any_core_crossing,minimum_estimated_clearance_m,foot_endpoint_distance_m,self_contact_pair_count,any_self_contact,minimum_self_contact_distance_m,front_thigh__rear_thigh_crossing,front_thigh__rear_thigh_core_crossing,front_thigh__rear_thigh_centerline_distance_m,front_thigh__rear_thigh_estimated_clearance_m,front_thigh__rear_shank_crossing,front_thigh__rear_shank_core_crossing,front_thigh__rear_shank_centerline_distance_m,front_thigh__rear_shank_estimated_clearance_m,front_shank__rear_thigh_crossing,front_shank__rear_thigh_core_crossing,front_shank__rear_thigh_centerline_distance_m,front_shank__rear_thigh_estimated_clearance_m,front_shank__rear_shank_crossing,front_shank__rear_shank_core_crossing,front_shank__rear_shank_centerline_distance_m,front_shank__rear_shank_estimated_clearance_m
7.92000000000098,49.08397563595343,2812.3046456630923,0.0,0.0,0.0,0.0,0.031121246665586154,0.06518169449920978,0.0,0.0,0.0,0.0,0.0,0.15000000000000022,0.1260000000000002,0.0,0.0,0.0979680805622466,0.0759680805622466,0.0,0.0,0.18027057532574822,0.1582705753257482,0.0,0.0,0.05112124666558616,0.031121246665586154
7.92100000000098,49.08856804084686,2812.567771081301,0.0,0.0,0.0,0.0,0.03119642238586085,0.06576769069636539,0.0,0.0,0.0,0.0,0.0,0.15000000000000027,0.12600000000000025,0.0,0.0,0.09742342569813736,0.07542342569813737,0.0,0.0,0.18015441185024686,0.15815441185024684,0.0,0.0,0.051196422385860856,0.03119642238586085
7.92200000000098,49.09326656749275,2812.8369768280404,0.0,0.0,0.0,0.0,0.03126208115042415,0.06636510754210405,0.0,0.0,0.0,0.0,0.0,0.1500000000000002,0.12600000000000017,0.0,0.0,0.09686290286118539,0.0748629028611854,0.0,0.0,0.18000684195816558,0.15800684195816556,0.0,0.0,0.05126208115042415,0.03126208115042415
7.923000000000981,49.098034864297226,2813.110180110403,0.0,0.0,0.0,0.0,0.03128120466414847,0.06701425471324486,0.0,0.0,0.0,0.0,0.0,0.1499999999999998,0.12599999999999978,0.0,0.0,0.09621317170082945,0.07421317170082946,0.0,0.0,0.17978647051736463,0.1577864705173646,0.0,0.0,0.051281204664148476,0.03128120466414847
7.924000000000981,49.102844661187994,2813.385761172559,0.0,0.0,0.0,0.0,0.03126810376052887,0.06770505466703593,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.09549778054505115,0.07349778054505116,0.0,0.0,0.17950721537189618,0.15750721537189616,0.0,0.0,0.05126810376052887,0.03126810376052887
7.925000000000981,49.10767402062018,2813.6624630857746,0.0,0.0,0.0,0.0,0.031233656145980587,0.06842939351238986,0.0,0.0,0.0,0.0,0.0,0.1499999999999998,0.12599999999999978,0.0,0.0,0.09473510772791116,0.07273510772791117,0.0,0.0,0.17917966231333168,0.15717966231333166,0.0,0.0,0.05123365614598059,0.031233656145980587
7.926000000000982,49.112506066993106,2813.939318949355,0.0,0.0,0.0,0.0,0.031186125389068058,0.06918059848865259,0.0,0.0,0.0,0.0,0.0,0.14999999999999988,0.12599999999999986,0.0,0.0,0.09393957910430382,0.07193957910430383,0.0,0.0,0.17881187388694286,0.15681187388694284,0.0,0.0,0.05118612538906806,0.031186125389068058
7.927000000000982,49.11732797089465,2814.215593692131,0.0,0.0,0.0,0.0,0.03113176935863178,0.06995310370717421,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.0931225591615955,0.0711225591615955,0.0,0.0,0.17840998838761096,0.15640998838761094,0.0,0.0,0.051131769358631785,0.03113176935863178
7.928000000000982,49.12213011229013,2814.490736126717,0.0,0.0,0.0,0.0,0.031075302475191344,0.07074221754620261,0.0,0.0,0.0,0.0,0.0,0.1499999999999999,0.1259999999999999,0.0,0.0,0.09229302899134496,0.07029302899134497,0.0,0.0,0.17797867430292022,0.1559786743029202,0.0,0.0,0.05107530247519135,0.031075302475191344
7.929000000000983,49.126905392120825,2814.76433950701,0.0,0.0,0.0,0.0,0.03102025133694271,0.07154394975207924,0.0,0.0,0.0,0.0,0.0,0.14999999999999974,0.12599999999999972,0.0,0.0,0.09145811267716197,0.06945811267716198,0.0,0.0,0.17752147998330525,0.15552147998330523,0.0,0.0,0.05102025133694271,0.03102025133694271
7.930000000000983,49.13164867283176,2815.0361094727923,0.0,0.0,0.0,0.0,0.030969229681292072,0.0723548772098382,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.09062348914722412,0.06862348914722413,0.0,0.0,0.17704110431977044,0.15504110431977042,0.0,0.0,0.050969229681292076,0.030969229681292072
